time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.734613	0.628749	7.22131	1.92951e-17	4.77242e-17	radar	74.2445	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16052	0.494895	7.22447	-0.127069	-0.0120307	lidar	0.220197	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25771	0.533201	7.20905	0.121911	0.0317744	radar	1.82606	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61612	0.59533	7.2231	0.161128	0.0483706	lidar	0.16583	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85127	0.562668	5.98261	0.0275013	-0.242073	radar	7.32616	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16201	0.592243	5.98263	0.0415909	-0.182677	lidar	0.250369	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37777	0.638931	5.55215	0.0611876	-0.315052	radar	5.65545	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65305	0.656627	5.55091	0.050028	-0.297108	lidar	0.00565576	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91965	0.650644	5.48731	0.00429942	-0.441066	radar	0.233953	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15367	0.647231	5.44047	-0.00872914	-0.40903	lidar	1.12851	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44035	0.541943	5.49026	-0.163004	-0.857669	radar	1.305	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74359	0.426802	5.57279	-0.289936	-1.11298	lidar	2.1611	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02368	0.515481	5.53482	-0.138033	-0.502472	radar	4.13219	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29701	0.509302	5.50967	-0.127827	-0.411119	lidar	0.330426	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55496	0.552659	5.38038	-0.0763267	-0.245326	radar	1.73176	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7369	0.670207	5.16711	0.0440086	0.0769311	lidar	11.806	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98768	0.671105	5.07803	0.0362385	0.0424113	radar	1.22922	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28672	0.663485	5.15493	0.020345	-0.00182867	lidar	2.9019	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54656	0.671534	5.25072	0.0274919	0.028102	radar	1.92424	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84175	0.685743	5.30355	0.0327856	0.0359474	lidar	1.75037	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08428	0.601103	5.18145	-0.049933	-0.172631	radar	3.46322	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33516	0.733804	5.1555	0.0684814	0.120868	lidar	3.45832	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58414	0.773167	5.11303	0.0925032	0.160709	radar	0.230814	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82997	0.763835	5.1021	0.0720203	0.0959092	lidar	0.300977	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07184	0.740332	4.9692	0.0384796	0.00196323	radar	2.21374	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28454	0.843212	4.9187	0.121252	0.188723	lidar	2.23451	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58267	0.849808	5.15458	0.104006	0.124695	radar	5.34731	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83612	0.807995	5.1443	0.0507291	-0.0078383	lidar	0.667259	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
